CL:0000001	CL:0000010 ! cultured cell
CL:0000003	CL:0000000 ! cell
CL:0000005	CL:0000057 ! fibroblast
CL:0000006	CL:0000101 ! sensory neuron
CL:0000006	CL:0000197 ! receptor cell
CL:0000007	CL:0002321 ! embryonic cell
CL:0000008	CL:0000333 ! migratory neural crest cell
CL:0000010	CL:0000578 ! experimentally modified cell in vitro
CL:0000011	CL:0000333 ! migratory neural crest cell
CL:0000014	CL:0000034 ! stem cell
CL:0000014	CL:0000039 ! germ line cell
CL:0000015	CL:0000586 ! germ cell
CL:0000016	CL:0000014 ! germ line stem cell
CL:0000016	CL:0000015 ! male germ cell
CL:0000017	CL:0000015 ! male germ cell
CL:0000018	CL:0000015 ! male germ cell
CL:0000018	CL:0000413 ! haploid cell
CL:0000019	CL:0000064 ! ciliated cell
CL:0000019	CL:0000219 ! motile cell
CL:0000019	CL:0000408 ! male gamete
CL:0000020	CL:0000015 ! male germ cell
CL:0000021	CL:0000586 ! germ cell
CL:0000022	CL:0000014 ! germ line stem cell
CL:0000022	CL:0000021 ! female germ cell
CL:0000023	CL:0000021 ! female germ cell
CL:0000024	CL:0000021 ! female germ cell
CL:0000025	CL:0000675 ! female gamete
CL:0000026	CL:0000039 ! germ line cell
CL:0000026	CL:0000412 ! polyploid cell
CL:0000027	CL:0000192 ! smooth muscle cell
CL:0000028	CL:2000029 ! central nervous system neuron
CL:0000029	CL:0000540 ! neuron
CL:0000030	CL:0000055 ! non-terminally differentiated cell
CL:0000031	CL:0000047 ! neuronal stem cell
CL:0000031	CL:0000055 ! non-terminally differentiated cell
CL:0000032	CL:0002321 ! embryonic cell
CL:0000033	CL:0000151 ! secretory cell
CL:0000034	CL:0011115 ! precursor cell
CL:0000035	CL:0000723 ! somatic stem cell
CL:0000036	CL:0000035 ! single fate stem cell
CL:0000037	CL:0000723 ! somatic stem cell
CL:0000037	CL:0008001 ! hematopoietic precursor cell
CL:0000038	CL:0000764 ! erythroid lineage cell
CL:0000038	CL:0000839 ! myeloid lineage restricted progenitor cell
CL:0000039	CL:0000548 ! animal cell
CL:0000040	CL:0000763 ! myeloid cell
CL:0000040	CL:0002194 ! monopoietic cell
CL:0000041	CL:0000771 ! eosinophil
CL:0000041	CL:0002242 ! nucleate cell
CL:0000042	CL:0000834 ! neutrophil progenitor cell
CL:0000042	CL:0000835 ! myeloblast
CL:0000043	CL:0000767 ! basophil
CL:0000043	CL:0002242 ! nucleate cell
CL:0000043	CL:0002274 ! histamine secreting cell
CL:0000047	CL:0000048 ! multi fate stem cell
