DOID:0001816	DOID:1115 ! sarcoma
DOID:0002116	DOID:10124 ! corneal disease
DOID:0014667	DOID:4 ! disease
DOID:0050004	DOID:10400 ! gonococcal seminal vesiculitis
DOID:0050012	DOID:934 ! viral infectious disease
DOID:0050013	DOID:0060158 ! acquired metabolic disease
DOID:0050025	DOID:10242 ! ehrlichiosis
DOID:0050026	DOID:10242 ! ehrlichiosis
DOID:0050032	DOID:0060158 ! acquired metabolic disease
DOID:0050035	DOID:11104 ! spotted fever
DOID:0050041	DOID:11104 ! spotted fever
DOID:0050042	DOID:11104 ! spotted fever
DOID:0050043	DOID:11104 ! spotted fever
DOID:0050046	DOID:11104 ! spotted fever
DOID:0050047	DOID:11104 ! spotted fever
DOID:0050050	DOID:11104 ! spotted fever
DOID:0050051	DOID:11104 ! spotted fever
DOID:0050052	DOID:11104 ! spotted fever
DOID:0050059	DOID:13386 ! gastrointestinal anthrax
DOID:0050061	DOID:0050338 ! primary bacterial infectious disease
DOID:0050068	DOID:10773 ! bubonic plague
DOID:0050072	DOID:0050292 ! primary systemic mycosis
DOID:0050073	DOID:13564 ! aspergillosis
DOID:0050083	DOID:5113 ! nutritional deficiency disease
DOID:0050096	DOID:8913 ! dermatophytosis
DOID:0050097	DOID:4337 ! tinea capitis
DOID:0050105	DOID:4337 ! tinea capitis
DOID:0050116	DOID:12179 ! tinea corporis
DOID:0050117	DOID:4 ! disease
DOID:0050118	DOID:934 ! viral infectious disease
DOID:0050120	DOID:75 ! lymphatic system disease
DOID:0050125	DOID:12205 ! dengue disease
DOID:0050127	DOID:1352 ! paranasal sinus disease
DOID:0050129	DOID:13250 ! diarrhea
DOID:0050130	DOID:13250 ! diarrhea
DOID:0050131	DOID:13250 ! diarrhea
DOID:0050132	DOID:13250 ! diarrhea
DOID:0050133	DOID:1564 ! fungal infectious disease
DOID:0050134	DOID:1564 ! fungal infectious disease
DOID:0050135	DOID:1564 ! fungal infectious disease
DOID:0050136	DOID:1564 ! fungal infectious disease
DOID:0050138	DOID:4976 ! elephantiasis
DOID:0050140	DOID:13250 ! diarrhea
DOID:0050141	DOID:11976 ! botulism
DOID:0050143	DOID:12205 ! dengue disease
DOID:0050144	DOID:9562 ! primary ciliary dyskinesia
DOID:0050145	DOID:974 ! upper respiratory tract disease
DOID:0050147	DOID:9463 ! otitis externa
DOID:0050148	DOID:974 ! upper respiratory tract disease
DOID:0050150	DOID:10458 ! legionellosis
DOID:0050152	DOID:874 ! bacterial pneumonia
DOID:0050153	DOID:13564 ! aspergillosis
DOID:0050155	DOID:863 ! nervous system disease
DOID:0050156	DOID:2797 ! idiopathic interstitial pneumonia
DOID:0050157	DOID:2797 ! idiopathic interstitial pneumonia
DOID:0050158	DOID:2797 ! idiopathic interstitial pneumonia
DOID:0050159	DOID:2797 ! idiopathic interstitial pneumonia
DOID:0050160	DOID:7427 ! anthrax disease
DOID:0050161	DOID:1579 ! respiratory system disease
DOID:0050166	DOID:2149 ! urogenital tuberculosis
DOID:0050167	DOID:14040 ! autoimmune polyendocrine syndrome
DOID:0050168	DOID:14040 ! autoimmune polyendocrine syndrome
DOID:0050169	DOID:8857 ! lupus erythematosus
DOID:0050174	DOID:2365 ! West Nile encephalitis
DOID:0050175	DOID:934 ! viral infectious disease
DOID:0050177	DOID:630 ! genetic disease
DOID:0050179	DOID:934 ! viral infectious disease
DOID:0050185	DOID:37 ! skin disease
DOID:0050194	DOID:934 ! viral infectious disease
DOID:0050195	DOID:934 ! viral infectious disease
DOID:0050196	DOID:934 ! viral infectious disease
DOID:0050197	DOID:934 ! viral infectious disease
DOID:0050198	DOID:934 ! viral infectious disease
DOID:0050199	DOID:934 ! viral infectious disease
DOID:0050200	DOID:11266 ! hemorrhagic fever with renal syndrome
DOID:0050201	DOID:11266 ! hemorrhagic fever with renal syndrome
