EFO:0000001	experimental factor
BFO:0000007	process
BFO:0000016	disposition
BFO:0000019	quality
BFO:0000020	material property
BFO:0000023	role
BFO:0000029	site
BFO:0000034	function
BFO:0000040	material entity
BTO:0000007	HEK-293 cell
BTO:0000018	A-549 cell
BTO:0000133	blood serum
BTO:0000152	infected cell
BTO:0000155	bronchoalveolar lavage
BTO:0000164	Burkitt lymphoma cell
BTO:0000214	cell culture
BTO:0000221	cell suspension culture
BTO:0000238	cerebrovascular endothelial cell
BTO:0000256	myoblast cell line
BTO:0000281	conidiophore
BTO:0000305	crypt
BTO:0000332	culture condition:dark-grown cell
BTO:0000377	elementary body
BTO:0000381	embryonic blood
BTO:0000383	renal cell carcinoma cell line
BTO:0000407	osteosarcoma cell line
BTO:0000426	erythroleukemia cell
BTO:0000488	lower epidermis
BTO:0000515	haustorium
BTO:0000551	lung cancer cell
BTO:0000583	bone marrow cancer cell
BTO:0000664	obsolete_K-562 cell
BTO:0000690	brain cancer cell line
BTO:0000740	myeloid leukemia cell line
BTO:0000797	colonic cancer cell line
BTO:0000849	melanoma cell line
BTO:0001030	J774.2 cell
BTO:0001033	prostate cancer cell line
BTO:0001038	peritrophic membrane
BTO:0001093	WEHI-231 cell
BTO:0001130	prostate gland cancer cell
BTO:0001205	RT4-D6P2T cell
BTO:0001383	alveolar bone
BTO:0001384	tissue culture
BTO:0001436	mycelium
BTO:0001516	BA/F3 cell
BTO:0001518	B-lymphoma cell line
BTO:0001615	colorectal cancer cell
BTO:0001616	colorectal cancer cell line
BTO:0001629	obsolete_left ventricle
BTO:0001630	obsolete_right ventricle
BTO:0001678	obsolete_Th1-cell
BTO:0001679	obsolete_Th2-cell
BTO:0001708	coelomic fluid
BTO:0001795	anterior silk gland
BTO:0001899	stationary phase culture
BTO:0001900	growth phase culture
BTO:0001903	logarithmic phase culture
BTO:0001948	JURKAT E-6.1 cell
BTO:0001967	cervical cancer cell line
BTO:0002178	HMEpC cell
BTO:0002179	184A1N4 cell
BTO:0002180	184B5 cell
BTO:0002217	culture supernatant
BTO:0002278	macrophage cell line
BTO:0002279	J-774 cell
BTO:0002488	uterine leiomyosarcoma cell line
BTO:0002599	RBA-2 cell
BTO:0002690	biofilm
BTO:0002842	cholangioma cell
BTO:0002844	breast invasive ductal carcinoma cell
BTO:0003147	obsolete_juvenile leaf
BTO:0003250	colonic epithelium cell line
BTO:0003264	HL-1 cell
BTO:0003699	C1R cell
BTO:0004059	CCD-18Co cell
BTO:0004263	COM-3 cell
BTO:0004264	INC-2 cell
BTO:0004298	corneal epithelial cell
BTO:0004578	vascular smooth muscle cell
BTO:0004687	orbit
BTO:0005136	ES-E14 cell
BTO:0005339	Ma-Mel-11 cell
CHEBI:100241	ciprofloxacin
CHEBI:100246	norfloxacin
CHEBI:10033	warfarin
CHEBI:101278	diltiazem
CHEBI:114785	erlotinib
CHEBI:1224	2-nitrofluorene
CHEBI:124991	cefalotin
CHEBI:12777	vitamin A
CHEBI:1367	3,3',4,4'-tetrachlorobiphenyl
CHEBI:13705	acetoacetate
CHEBI:15075	selenate
CHEBI:15343	acetaldehyde
CHEBI:15347	acetone
CHEBI:15365	acetylsalicylic acid
CHEBI:15366	acetic acid
CHEBI:15367	all-trans-retinoic acid
CHEBI:153671	endothelin-1
CHEBI:15368	acrolein
CHEBI:15372	5,6,7,8-tetrahydrobiopterin
CHEBI:15377	water
CHEBI:15379	oxygen
CHEBI:15414	S-adenosyl-L-methionine
CHEBI:15551	prostaglandin E2
CHEBI:15560	(15Z)-12-oxophyto-10,15-dienoic acid
CHEBI:15738	staurosporine
CHEBI:15756	Hexadecanoic acid
CHEBI:15767	dichloromethane
CHEBI:15843	arachidonic acid
CHEBI:15866	2-deoxy-D-glucose
CHEBI:15882	phenol
CHEBI:15929	methyl (-)-jasmonate
CHEBI:15930	atrazine
CHEBI:15940	nicotinic acid
CHEBI:15956	biotin
CHEBI:15978	sn-glycerol 3-phosphate
CHEBI:16038	phosphatidylethanolamine
CHEBI:16113	cholesterol
CHEBI:16196	oleic acid
CHEBI:16236	ethanol
CHEBI:16240	hydrogen peroxide
CHEBI:16243	quercetin
CHEBI:16247	phospholipid
CHEBI:16261	chitosan
CHEBI:16330	17beta-hydroxy-5alpha-androstan-3-one
CHEBI:16336	hyaluronan
CHEBI:16348	3-nitropropionic acid
CHEBI:16359	cholic acid
CHEBI:16383	cis-aconitate(3-)
